['成都金沙遗址博物馆（成都十二桥古蜀遗址博物馆、成都博物馆、成都中国皮影博物馆）', '文物', '一级', '否', '成都市青羊区金沙遗址路2号', '成都市十二桥路18号', '成都市十二桥路19号']
['成都武侯祠博物馆', '文物', '一级', '否', '四川省成都市武侯祠大街231号']
['成都杜甫草堂博物馆', '文物', '一级', '否', '成都市青羊区青华路37号']
['自贡恐龙博物馆', '文物', '一级', '否', '自贡市大安区大山铺238号']
['广安邓小平故居陈列馆', '文物', '一级', '是', '广安市协兴镇']
['四川广汉三星堆博物馆', '文物', '一级', '否', '广汉市西安路133号']
['遵义会议纪念馆', '文物', '一级', '是', '贵州省遵义市红花岗区子尹路96号']
['云南省博物馆', '文物', '一级', '是', '昆明市官渡区广福路6393号']
['云南民族博物馆', '行业', '一级', '是', '昆明市滇池路1503号']
['西藏博物馆', '文物', '一级', '是', '西藏拉萨市民族南路2号']
['陕西历史博物馆', '文物', '一级', '是', '陕西省西安市雁塔区小寨东路91号']
['秦始皇帝陵博物院', '文物', '一级', '否', '陕西省西安市临潼区']
['西安碑林博物馆', '文物', '一级', '否', '西安市碑林区三学街15号']
['汉阳陵博物馆', '文物', '一级', '否', '西安经济技术开发区泾河工业园机场路东段']
['西安博物院', '文物', '一级', '是', '西安市碑林区友谊西路72号']
['西安半坡博物馆', '文物', '一级', '否', '陕西省西安市灞桥区半坡路155号']
['延安革命纪念馆', '文物', '一级', '是', '延安市王家坪圣地路1号']
['甘肃省博物馆', '文物', '一级', '是', '兰州市七里河区西津西路3号']
['宁夏博物馆', '文物', '一级', '是', '宁夏银川市金凤区人民广场东街6号']
['固原博物馆', '文物', '一级', '是', '固原市西城路133号']
['新疆维吾尔自治区博物馆', '文物', '一级', '是', '乌鲁木齐市西北路581号']
